;extension;MH;location;working_hours;price;const_year
156;C;0;PL;1;41890;2005
157;C;0;PL;1;41982;2005
164;F;0;DE;3;116000;2015
155;F;0;DE;4;112000;2016
162;D;0;PL;5;102732;2012
158;F;0;DE;8;173500;2019
159;F;0;ES;8;106500;2014
160;D;1;ES;8;124500;2014
163;D;0;PL;11;66384;2009
154;F;0;FR;12;215000;2019
161;D;0;PL;12;63772;2011
153;C;0;DE;100;4200;2004
103;F;0;PL;527;168107;2014
43;F;0;FR;723;200000;2018
134;F;0;DE;1788;139500;2016
86;F;0;FR;2652;150000;2016
102;F;0;PL;2656;124500;2018
142;F;0;PL;2674;153000;2016
80;F;0;DE;2682;124900;2016
38;F;0;NL;2687;139500;2016
135;F;0;ES;3200;155000;2019
106;F;0;PL;4142;129000;2015
28;F;0;CH;4181;149696;2015
14;F;0;ES;4280;147000;2017
87;F;0;LV;4475;130000;2018
110;D;0;ES;4829;100000;2010
140;D;0;ES;4883;100000;2010
129;F;0;LT;5048;125000;2014
133;F;0;DE;5101;115000;2016
16;F;0;FI;5141;99000;2018
84;D;0;GR;5148;92000;2012
10;D;0;NL;5409;77900;2012
5;D;0;HU;5411;85650;2012
63;F;0;NL;5589;119500;2017
71;F;0;DE;5768;93900;2015
148;D;0;PL;5865;102732;2012
97;F;0;PL;5900;107400;2015
11;D;0;DE;5958;88000;2012
8;D;0;DE;5963;85000;2012
3;D;0;DE;5968;82500;2012
52;;0;FI;5980;129900;2016
127;D;0;FR;6050;99000;2010
74;F;0;PL;6200;118600;2015
108;D;0;PL;6250;87726;2012
48;D;0;DE;6500;79900;2008
93;F;0;DE;6589;95900;2015
19;F;0;HU;6751;123230;2017
131;F;0;PL;6800;99000;2017
21;F;0;PL;6831;126000;2016
26;D;1;PL;7000;100000;2013
85;D;0;LT;7000;41500;2011
70;F;0;DE;7080;87900;2015
78;F;0;DE;7214;99000;2016
130;F;0;PL;7300;94000;2015
100;F;0;NL;7310;86800;2015
22;F;0;PL;7539;123000;2016
88;F;0;DE;7543;100500;2016
75;D;0;UA;7600;45000;2007
95;D;1;ES;7700;89000;2013
92;D;1;BE;7738;65000;2013
20;F;0;HU;7791;115360;2016
83;F;0;NO;7820;105251;2015
41;F;0;PL;8000;89708;2015
113;F;0;SK;8000;157000;2016
81;C;0;NL;8124;34500;2004
125;C;0;PL;8130;33500;2004
118;D;0;DE;8300;55000;2012
25;D;0;DE;8314;65000;2010
12;C;0;AT;8497;32900;2004
64;F;0;PL;8500;87804;2015
44;C;0;DE;8575;42500;2006
139;C;1;HU;8619;52000;2007
98;F;0;PL;8630;103000;2015
141;D;0;IT;8914;88000;2012
136;F;0;PL;8915;100000;2016
65;F;0;PL;8920;99000;2016
60;C;0;DE;9000;29500;2004
55;C;0;DE;9197;37900;2004
59;D;0;PL;9200;63670;2011
29;C;0;LT;9228;34000;2007
15;C;0;LT;9231;34500;2007
69;D;0;DE;9243;69900;2012
62;D;0;DE;9360;74500;2014
121;C;0;NL;9384;38900;2003
1;D;0;DE;9400;49000;2010
115;D;0;NL;9502;54250;2010
33;C;0;LT;9547;34500;2007
117;D;0;DE;9600;65000;2011
101;D;0;CH;9690;52900;2011
61;D;0;DE;9703;67900;2011
31;F;0;DE;9731;92000;2015
23;D;0;PL;9900;70243;2012
9;D;0;DE;10000;57773;2009
27;D;0;PL;10000;52590;2008
79;D;1;RO;10000;65000;2009
138;D;1;PL;10050;68500;2013
47;D;0;NL;10106;62000;2011
126;D;0;DE;10134;79000;2014
91;D;1;NL;10178;66800;2013
99;D;0;DE;10200;48500;2008
7;D;0;PL;10220;70700;2011
66;D;1;DE;10250;69900;2014
150;D;0;PL;10356;52890;2012
0;F;0;NL;10363;79500;2016
18;D;0;DE;10382;65000;2013
42;D;0;PL;10500;57478;2011
114;D;0;DE;10500;67500;2011
72;C;0;NL;10526;41900;2004
152;D;0;PL;10600;62684;2012
39;D;0;DE;10667;55950;2008
151;D;0;PL;10670;56154;2010
73;D;0;NL;10694;53800;2007
68;C;0;DE;10740;44500;2003
149;D;0;PL;10995;64208;2012
13;D;0;UA;11000;83200;2008
137;F;0;PL;11000;96369;2016
57;D;0;NL;11006;50900;2008
120;D;0;UA;11058;83000;2012
67;D;0;HR;11099;1;2012
76;C;0;PL;11228;39775;2006
30;D;0;PL;11300;69480;2013
147;D;0;PL;11384;66384;2009
112;D;0;DE;11500;60000;2009
56;F;0;LV;11660;86000;2014
54;D;1;DE;11700;53000;2007
128;C;0;PL;11809;44050;2006
50;D;0;RO;12000;53500;2008
107;D;0;ES;12000;65000;2008
116;C;0;NL;12040;39000;2005
132;D;0;SI;12069;60000;2011
105;C;0;NL;12258;37500;2004
58;D;0;HU;12400;62500;2013
2;D;0;NL;12423;54900;2009
4;D;0;PL;12465;60500;2013
111;D;1;NL;12550;61800;2012
146;D;0;PL;12556;63772;2011
145;D;1;NL;12823;62800;2014
40;D;0;DE;12932;49000;2008
124;D;0;NL;12968;64000;2012
49;C;0;DE;12975;42500;2006
144;D;1;NL;13190;69900;2012
45;C;0;PL;13346;29000;2004
36;C;1;NL;13500;54000;2006
6;D;0;BE;13682;59500;2010
46;C;0;NL;13874;39800;2004
123;D;0;NL;14111;46900;2008
37;D;0;BE;14460;54950;2009
51;C;1;ES;15000;55000;2005
89;D;0;PL;15580;32000;2011
24;C;0;DE;15757;42900;2005
17;D;0;BE;16394;44500;2009
53;C;0;DE;16470;34900;2004
90;D;0;NL;16800;51900;2010
104;D;0;NL;17420;46800;2011
32;C;0;PL;18000;40180;2005
35;D;0;ES;20000;86000;2010
77;C;0;NL;20409;35000;2005
109;D;0;ES;21000;65000;2010
96;C;1;IT;22406;58000;2007
122;D;1;NL;23588;43800;2008
94;D;0;PL;35194;45120;2011